"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","160","1","en","organic aloe","0.903632","positive","0.933457","0.053801","0.797803","0.081105","0.019014","0.03947"
"","","","1","14","1","en","","","","","","","","",""
"","","","1","81","1","en","INFORMATION","0","neutral","0.980058","0.145935","0.46992","0.081319","0.037739","0.156336"
"","","","1","32","1","en","Jojoba","0.688418","positive","0.997541","0.252094","0.348732","0.090254","0.265398","0.154334"
"400","not enough text provided for language detection","0e7fa6da5a72cdc00ce12e05","","","","","","","","","","","","",""
"","","","1","44","1","en","colors","0.804099","positive","0.971839","0.06062","0.691292","0.078471","0.009694","0.02312"
"","","","1","62","1","en","lip gloss sound","0","neutral","0.909513","0.122214","0.528446","0.12545","0.139793","0.079884"
"","","","1","123","1","en","smooth soft lips","0.85421","positive","0.93536","0.13516","0.45728","0.048292","0.064568","0.010359"
"","","","1","66","1","en","lips","0.941765","positive","0.976292","0.262631","0.351904","0.208128","0.136759","0.082359"
"","","","1","111","1","en","jelly feature","0.901618","positive","0.948378","0.20457","0.616392","0.023602","0.077387","0.04439"
"","","","1","156","1","en","shimmering beads","0.864313","positive","0.922553","0.189318","0.273164","0.07133","0.11773","0.060807"
"","","","1","17","1","en","natural waxes","0.710523","positive","0.941531","0.117669","0.33601","0.05118","0.025491","0.028466"
"","","","1","67","1","en","lip gloss","0","neutral","0.901691","0.143131","0.113502","0.127852","0.047336","0.050535"
"","","","1","63","1","en","word","0.723864","positive","0.90542","0.105184","0.525205","0.053739","0.164709","0.159411"
"","","","1","86","1","en","ad","0.743669","positive","0.925462","0.367397","0.334305","0.114962","0.027245","0.025496"
"","","","1","53","1","en","natural ingredients","0.840707","positive","0.926334","0.128274","0.3138","0.035986","0.041233","0.023323"
"","","","1","33","1","en","softer lips","0.818016","positive","0.984304","0.068956","0.769624","0.048397","0.059976","0.014862"
"","","","1","32","1","en","smooth shimmery product","0.831604","positive","0.930575","0.12534","0.389266","0.038408","0.017613","0.005149"
"","","","1","39","1","en","HIGH QUALITY","0.552735","positive","0.976551","0.174875","0.391608","0.101905","0.060592","0.088393"
